Arundhati Roy
Bill Bryson
Chimamanda Ngozi Adichie
Cormac McCarthy
Elizabeth Gilbert
Gabriel Tallent
George Saunders
Hanya Yanagihara
Haruki Murakami
J.K. Rowling
Kazuo Ishiguro
Khaled Hosseini
Madeline Miller
Malcolm Gladwell
Margaret Atwood
Maya Angelou
Michael Pollan
Mohsin Hamid
Neil Gaiman
Ocean Vuong
Salman Rushdie
Seamus Heaney
Stephen King
Steven Pinker
Toni Morrison
V.S. Naipaul
W.H. Auden
Yuval Noah Harari
